web_browser,operating_sys,from_url,to_url,city,time_zone,time_in,time_out,longitude,latitude
Mozilla/5.0 , AppleWebKit/535.11 ,www.facebook.com,www.ncbi.nlm.nih.gov,Danvers,America/New_York,2012-03-16 18:40:47.000,1970-01-16 09:57:02.918,42.576698,-70.954903
Mozilla/4.0 ,,t.co,boxer.senate.gov,Washington,America/New_York,2012-03-16 18:40:50.000,1970-01-16 09:58:39.941,38.9007,-77.043098
Mozilla/5.0 , AppleWebKit/534.52.7 ,direct,apod.nasa.gov,Braz,America/Sao_Paulo,2012-03-16 18:40:49.000,1970-01-16 09:58:43.068,-23.549999,-46.616699
Mozilla/5.0 , AppleWebKit/535.11 ,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,Shrewsbury,America/New_York,2012-03-16 18:40:51.000,1970-01-15 17:47:52.411,42.286499,-71.714699
Mozilla/5.0 , AppleWebKit/535.11 ,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,Shrewsbury,America/New_York,2012-03-16 18:40:52.000,1970-01-15 17:47:52.506,42.286499,-71.714699
Mozilla/5.0 , AppleWebKit/535.11 ,plus.url.google.com,www.nasa.gov,Luban,Europe/Warsaw,2012-03-16 18:40:55.000,1970-01-16 09:58:42.854,51.116699,15.2833
Mozilla/5.0 , Gecko/20100101 Firefox/10.0.2,direct,www.nysdot.gov,Seattle,America/Los_Angeles,2012-03-16 18:40:58.000,1970-01-16 06:32:43.556,47.5951,-122.332603
Mozilla/5.0 , Gecko/20120216 Firefox/3.6.27,t.co,oversight.house.gov,Washington,America/New_York,2012-03-16 18:40:59.000,1970-01-16 09:56:55.838,38.937599,-77.092796
Mozilla/5.0 , Gecko/20100101 Firefox/10.0.2,direct,www.nysdot.gov,Alexandria,America/New_York,2012-03-16 18:40:59.000,1970-01-16 06:32:43.556,38.790901,-77.094704
Mozilla/5.0 , Gecko/20110420 Firefox/3.6.17,direct,toxtown.nlm.nih.gov,Marietta,America/New_York,2012-03-16 18:41:02.000,1970-01-15 12:49:29.846,33.953201,-84.5177
Mozilla/5.0 , AppleWebKit/535.11 ,forum2.hkgolden.com,www.ssd.noaa.gov,Central District,Asia/Hong_Kong,2012-03-16 18:41:03.000,1970-01-16 05:55:18.030,22.2833,114.150002
Mozilla/5.0 , AppleWebKit/535.11 ,forum2.hkgolden.com,www.usno.navy.mil,Central District,Asia/Hong_Kong,2012-03-16 18:41:03.000,1970-01-16 05:55:18.039,22.2833,114.150002
Mozilla/5.0 , Gecko/20100101 Firefox/10.0.2,t.co,www.usda.gov,Buckfield,America/New_York,2012-03-16 18:41:04.000,1970-01-16 09:57:19.576,44.299702,-70.369797
Mozilla/5.0 , AppleWebKit/535.11 ,www.facebook.com,www.nasa.gov,Venice,Europe/Rome,2012-03-16 18:41:04.000,1970-01-16 09:58:42.854,45.438599,12.3267
Mozilla/5.0 ,,www.facebook.com,voyager.jpl.nasa.gov,Alcal,Africa/Ceuta,2012-03-16 18:41:05.000,1970-01-16 09:54:30.549,37.516701,-5.9833
Mozilla/5.0 , Gecko/20110707 Firefox/3.6.19,www.facebook.com,www.nasa.gov,Davidsonville,America/New_York,2012-03-16 18:41:07.000,1970-01-16 09:58:42.854,38.939201,-76.635002
Mozilla/4.0 ,,direct,portal.hud.gov,Hockessin,America/New_York,2012-03-16 18:41:07.000,1970-01-16 09:44:24.158,39.785,-75.682297
Mozilla/5.0 , AppleWebKit/534.53.11 ,www.facebook.com,www.tricare.mil,Lititz,America/New_York,2012-03-16 18:41:07.000,1970-01-16 09:30:17.829,40.174999,-76.3078
